[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:59:52 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:59:52 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 15:00:31 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 15:00:31 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 15:00:46 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 15:00:46 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 15:01:42 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[27-Jun-2019 15:01:44 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 15:01:44 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 15:02:13 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[27-Jun-2019 15:02:15 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 15:02:15 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 15:05:33 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 15:05:33 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 15:08:15 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[27-Jun-2019 15:09:55 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[27-Jun-2019 18:43:43 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[27-Jun-2019 21:40:05 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[27-Jun-2019 23:50:31 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
